============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   87  1 .4513888E+07   2540000E+02  .3713E+07 -.1327E+07   .9999095 -.0105461 -.0083563
T   88  1 .4527186E+07   2540000E+02 -.1947E+07  .2207E+07   .9999138  .0121963  .0048678
T   89  1 .4526678E+07   2540000E+02  .3148E+07  .2240E+07   .9998801  .0153092  .0023450
T   90  1 .4488733E+07   2540000E+02  .7710E+07 -.3440E+08   .9824107  .0477542 -.1805234
T   91  1 .4525652E+07   2540000E+02  .5596E+07 -.3452E+07   .9990469  .0316594 -.0300499
T   92  1 .4485875E+07   2540000E+02 -.2541E+07 -.3195E+07   .9992648 -.0237092 -.0301295
T   93  1 .4468256E+07   2540000E+02 -.2650E+08  .4654E+08   .9455327 -.1835327  .2688562
T   94  1 .4490733E+07   2540000E+02 -.1368E+07 -.4301E+07   .9983870  .0160529 -.0544576
T   95  1 .4438062E+07   2540000E+02  .1555E+07  .2686E+07   .9998876  .0046325 -.0142574
T   96  1 .4467647E+07   2540000E+02 -.6048E+07 -.1414E+07   .9987472 -.0155900 -.0475501
T   97  1 .4468335E+07   2540000E+02 -.4676E+07 -.3513E+07   .9990270 -.0393977 -.0198205
T   98  1 .4467200E+07   2540000E+02 -.9604E+06  .2016E+07   .9999155 -.0128961 -.0016502
T   99  1 .4489874E+07   2540000E+02  .5189E+07  .5307E+07   .9973896  .0589150  .0417486
T  100  1 .4452621E+07   2540000E+02 -.5606E+07 -.2839E+06   .9991808 -.0388439  .0113557
T  101  1 .4461760E+07   2540000E+02 -.2876E+08 -.1601E+08   .9865123 -.1493196 -.0670611
T  102  1 .4490236E+07   2540000E+02  .9770E+07  .5452E+07   .9985346  .0540637  .0024118
T  103  1 .4480836E+07   2540000E+02 -.1694E+06 -.4096E+05   .9999826  .0057884  .0011692
T  104  1 .4445190E+07   2540000E+02  .4606E+07 -.3921E+07   .9985734  .0232678 -.0480593
T  105  1 .4511522E+07   2540000E+02  .2531E+06  .1349E+08   .9963633  .0062060  .0849805
T  106  1 .4502070E+07   2540000E+02 -.5800E+07  .8761E+07   .9975384 -.0394143  .0579966
T  107  1 .4436756E+07   2540000E+02  .2464E+07 -.2830E+07   .9995775  .0097748 -.0273727
T  108  1 .4498685E+07   2540000E+02 -.4012E+07  .6401E+07   .9978737 -.0617767  .0207765
T  109  1 .4454282E+07   2540000E+02  .3482E+06  .7380E+07   .9955211  .0566935  .0756548
T  110  1 .4524872E+07   2540000E+02  .1413E+08  .1130E+08   .9947346  .0974915  .0315997
T  111  1 .4572680E+07   2540000E+02 -.5576E+07  .2244E+07   .9940518 -.0939276  .0551230
T  112  1 .4505620E+07   2540000E+02 -.3174E+07 -.3661E+07   .9991380 -.0070408 -.0409100
T  113  1 .4569633E+07   2540000E+02  .4461E+07  .5643E+07   .9986612  .0240963  .0457732
T  114  1 .4500217E+07   2540000E+02 -.7711E+07  .1262E+07   .9992817 -.0378678 -.0014589
T  115  1 .4510678E+07   2540000E+02 -.4493E+06  .4886E+07   .9990171 -.0412763  .0161562
T  116  1 .4501093E+07   2540000E+02 -.1092E+08 -.6537E+07   .9960638 -.0705560 -.0536544
T  117  1 .4510356E+07   2540000E+02  .1931E+07  .4361E+07   .9999834  .0051149 -.0026385
T  118  1 .4456160E+07   2540000E+02  .1364E+06 -.2659E+07   .9990778 -.0372673  .0213253
T  119  1 .4472335E+07   2540000E+02  .1293E+08  .1317E+07   .9933668  .1146179  .0092314
T  120  1 .4444096E+07   2540000E+02 -.4114E+07 -.1013E+07   .9987732 -.0442758 -.0221750
T  121  1 .4469407E+07   2540000E+02 -.5048E+05  .2560E+07   .9985425 -.0123636  .0525353
T  122  1 .4485255E+07   2540000E+02  .3514E+07  .4608E+07   .9994592 -.0176700  .0277329
T  123  1 .4467281E+07   2540000E+02 -.6964E+07 -.1771E+07   .9992616 -.0328393 -.0199433
T  124  1 .4557081E+07   2540000E+02  .1300E+07 -.5364E+07   .9998302  .0162520 -.0086821
T  125  1 .4451773E+07   2540000E+02 -.6881E+07 -.2381E+07   .9990449 -.0396652 -.0183287
T  126  1 .4451315E+07   2540000E+02 -.3577E+07 -.1465E+07   .9971529 -.0600114 -.0456583
T  127  1 .4493543E+07   2540000E+02  .4336E+06 -.4709E+06   .9835857  .1499174 -.1004190
T  128  1 .4526073E+07   2540000E+02 -.2382E+06 -.1864E+07   .9999172  .0048927 -.0119050
T  129  1 .4439175E+07   2540000E+02  .2805E+07  .1771E+08   .9900869  .0078248  .1402380
T  130  1 .4463744E+07   2540000E+02  .2601E+07 -.2393E+07   .9994889  .0270025 -.0171110
T  131  1 .4497653E+07   2540000E+02 -.2603E+07 -.2704E+07   .9987416 -.0322999 -.0383662
T  132  1 .4460293E+07   2540000E+02  .1637E+07  .1435E+07   .9997361  .0228654 -.0022030
T  133  1 .4499082E+07   2540000E+02  .6594E+06 -.2062E+07   .9999827  .0052921  .0025678
T  134  1 .4501692E+07   2540000E+02  .3052E+06 -.8662E+07   .9963021 -.0131485 -.0849067
T  135  1 .4540112E+07   2540000E+02  .7108E+06 -.3027E+07   .9998287  .0128603 -.0133075
T  136  1 .4469287E+07   2540000E+02 -.7298E+06  .1529E+07   .9995309 -.0174972  .0251362
T  137  1 .4462563E+07   2540000E+02 -.3991E+07 -.9662E+06   .9986147 -.0518107  .0091881
T  138  1 .4447296E+07   2540000E+02  .3703E+07  .7358E+05   .9997381 -.0136664  .0183554
T  139  1 .4465416E+07   2540000E+02 -.1016E+08  .2204E+07   .9981125 -.0550677 -.0271847
T  140  1 .4480624E+07   2540000E+02  .1060E+07 -.3833E+07   .9997188  .0174085 -.0160991
T  141  1 .4494770E+07   2540000E+02  .3229E+07 -.2280E+07   .9996565  .0155045 -.0211319
T  142  1 .4477240E+07   2540000E+02  .4848E+07  .2678E+07   .9989485  .0398897  .0225998
T  143  1 .4497542E+07   2540000E+02 -.6641E+06 -.4165E+06   .9999926 -.0035203 -.0015600
T  144  1 .4533768E+07   2540000E+02  .1092E+07 -.4083E+06   .9998613 -.0097115 -.0135280
