============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   99  1 .9957856E+07   2540129E-02  .1031E+02  .3839E+02   .9999944 -.0018732  .0027661
T  100  1 .9970632E+07   2540193E-02  .2207E+02  .4318E+01   .9999900  .0025743  .0036612
T  101  1 .9938416E+07   2540142E-02  .2377E+03  .9355E+02   .9996854  .0228543  .0103313
T  102  1 .9941872E+07   2540153E-02  .2080E+02  .1356E+03   .9999712 -.0009956  .0075239
T  103  1 .9956622E+07   2540122E-02 -.3059E+02 -.3116E+02   .9999937 -.0021509 -.0028405
T  104  1 .9935163E+07   2540038E-02 -.3644E+02 -.1101E+03   .9999302 -.0032015 -.0113691
T  105  1 .9954321E+07   2540241E-02  .1961E+02 -.1052E+02   .9999882  .0048310 -.0004295
T  106  1 .9944366E+07   2540110E-02 -.4108E+02 -.1263E+02   .9999941 -.0031063 -.0014424
T  107  1 .9940373E+07   2540040E-02 -.9003E+02 -.1255E+03   .9999806 -.0051773 -.0034716
T  108  1 .9976557E+07   2540132E-02  .2595E+02 -.1428E+02   .9999907  .0013754 -.0040765
T  109  1 .9956665E+07   2540022E-02  .6266E+02 -.1724E+03   .9999324  .0079844 -.0084540
T  110  1 .9939507E+07   2540225E-02 -.6829E+02 -.5453E+02   .9999680 -.0075114 -.0027424
T  111  1 .9935464E+07   2540200E-02 -.1040E+03  .8907E+02   .9999675 -.0035676  .0072351
T  112  1 .9940434E+07   2540263E-02  .5291E+01 -.6481E+02   .9999418  .0005909 -.0107745
T  113  1 .9963163E+07   2540237E-02  .3865E+02  .5248E+01   .9999966  .0012543 -.0022933
T  114  1 .9942616E+07   2540182E-02  .4633E+02 -.4440E+01   .9999770  .0060282 -.0030960
T  115  1 .9946975E+07   2540232E-02  .3030E+02 -.1143E+03   .9999601  .0025303 -.0085670
T  116  1 .9960611E+07   2540199E-02  .5922E+02 -.2239E+02   .9999504  .0082654 -.0055632
T  117  1 .9945938E+07   2540108E-02  .1269E+02  .8616E+02   .9999586  .0054540  .0072888
T  118  1 .9936769E+07   2540184E-02 -.3017E+01 -.3852E+02   .9999772  .0017070 -.0065405
