============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  153  2 .2473715E+08   2540029E-02  .1355E+02 -.3834E+02   .9999975  .0013778 -.0017399
T  154  2 .2478791E+08   2540221E-02  .1154E+03 -.3431E+02   .9999782  .0065888 -.0004066
T  155  2 .2477123E+08   2540149E-02 -.2350E+02 -.2793E+02   .9999975 -.0015318  .0016556
T  156  2 .2481044E+08   2540050E-02  .4391E+02  .3457E+02   .9999999  .0002315  .0002933
T  157  2 .2475559E+08   2540173E-02 -.1115E+02 -.7831E+01   .9999965 -.0026205  .0004133
T  158  2 .2478347E+08   2540220E-02  .1170E+02  .1189E+02   .9999944  .0022652  .0024741
T  159  2 .2475946E+08   2540006E-02  .4007E+02 -.2098E+01   .9999841  .0055955 -.0006707
T  160  2 .2477155E+08   2540213E-02  .2355E+02 -.2270E+02   .9999919  .0036177 -.0017637
T  161  2 .2479845E+08   2540202E-02 -.5371E+03 -.3780E+02   .9993704 -.0354645 -.0010277
T  162  2 .2481361E+08   2540114E-02  .5889E+02 -.4567E+02   .9999713  .0060948 -.0044992
T  163  2 .2476433E+08   2540081E-02  .1081E+03 -.1044E+03   .9999545  .0093834  .0017127
T  164  2 .2479608E+08   2540084E-02  .1088E+02 -.3098E+02   .9999799  .0028564 -.0056625
T  165  2 .2478146E+08   2540262E-02  .5668E+02 -.3230E+02   .9999956  .0019956 -.0022000
T  166  2 .2478934E+08   2540204E-02 -.8486E+01  .6337E+02   .9997181 -.0214730  .0101286
T  167  2 .2481581E+08   2540025E-02  .8289E+02 -.7495E+02   .9999795  .0031863 -.0055594
T  168  2 .2481437E+08   2540045E-02  .1383E+02  .4104E+01   .9999876  .0034586  .0035717
T  169  2 .2481280E+08   2540148E-02  .9245E+01 -.1424E+03   .9999770 -.0027858 -.0061892
T  170  2 .2477145E+08   2540016E-02 -.7942E+02  .4457E+02   .9999797 -.0043183  .0046920
T  171  2 .2479865E+08   2540123E-02  .2218E+02 -.2759E+02   .9999810  .0016132 -.0059548
T  172  2 .2477489E+08   2540160E-02 -.5485E+02  .1687E+02   .9999784 -.0065360  .0006473
T  173  2 .2481949E+08   2540245E-02  .4886E+02  .2675E+02   .9999880  .0048576  .0006679
T  174  2 .2479767E+08   2540243E-02  .2478E+02  .7474E+01   .9999923 -.0019733  .0034012
T  175  2 .2478107E+08   2540263E-02  .8984E+00 -.9536E+01   .9999884  .0026609  .0040261
T  176  2 .2480913E+08   2540084E-02 -.3502E+02 -.3984E+02   .9999856 -.0011632 -.0052395
T  177  2 .2474909E+08   2540033E-02  .5148E+01 -.1399E+02   .9999965  .0003807 -.0026263
T  178  2 .2484732E+08   2540166E-02  .2489E+02 -.1736E+02   .9999168  .0128672 -.0009467
T  179  2 .2476178E+08   2540181E-02 -.3619E+02  .4552E+00   .9999872 -.0046521 -.0020010
T  180  2 .2476460E+08   2540148E-02 -.1010E+00  .3026E+02   .9999915 -.0041138 -.0002353
T  181  2 .2476919E+08   2540244E-02 -.2767E+02  .3309E+02   .9999989  .0013740 -.0005946
T  182  2 .2480592E+08   2540064E-02 -.1330E+03  .1571E+03   .9994544 -.0209560  .0255291
T  183  2 .2480270E+08   2540198E-02 -.8250E+02 -.3920E+02   .9999406 -.0089850 -.0061777
T  184  2 .2476905E+08   2540189E-02  .2504E+01 -.1117E+02   .9999992  .0007662 -.0009770
T  185  2 .2476656E+08   2540193E-02 -.2340E+02  .1020E+03   .9999864 -.0008468  .0051523
